Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 12-Sep-2026),Crossref citations (as of 12-Sep-2026),abstract,abstract_source,abstract_status
"Utilizing big data analytics for information systems research: challenges, promises and guidelines","Jan Vom Brocke, Stefan Debortoli, Iris Junglas, Oliver Müller",European Journal of Information Systems,25.0,4,p289 - p302,2016,10.1057/ejis.2016.2,19-Dec-2017,https://doi.org/10.1057/ejis.2016.2,21951.0,223.0,"This essay discusses the use of big data analytics (BDA) as a strategy of enquiry for advancing information systems (IS) research. In broad terms, we understand BDA as the statistical modelling of large, diverse, and dynamic data sets of user-generated content and digital traces. BDA, as a new paradigm for utilising big data sources and advanced analytics, has already found its way into some social science disciplines. Sociology and economics are two examples that have successfully harnessed BDA for scientific enquiry. Often, BDA draws on methodologies and tools that are unfamiliar for some IS researchers (e.g., predictive modelling, natural language processing). Following the phases of a typical research process, this article is set out to dissect BDA’s challenges and promises for IS research, and illustrates them by means of an exemplary study about predicting the helpfulness of 1.3 million online customer reviews. In order to assist IS researchers in planning, executing, and interpreting their own studies, and evaluating the studies of others, we propose an initial set of guidelines for conducting rigorous BDA studies in IS.",SemanticScholar,FOUND
Novel approach to big data collaboration with network operators network function virtualisation (NFV),"Sasan Adibi, Amin Mobasher, Masood Mortazavi, Tom Tofigh","International Journal of Parallel, Emergent and Distributed Systems",30.0,1,p65 - p78,2015,10.1080/17445760.2014.930145,10-Jul-2014,https://doi.org/10.1080/17445760.2014.930145,329.0,1.0,"The intersection of network function virtualisation (NFV) technologies and big data has the potential of revolutionising today's telecommunication networks from deployment to operations resulting in significant reductions in capital expenditure (CAPEX) and operational expenditure, as well as cloud vendor and additional revenue growths for the operators. One of the contributions of this article is the comparisons of the requirements for big data and network virtualisation and the formulation of the key performance indicators for the distributed big data NFVs at the operator's infrastructures. Big data and virtualisation are highly interdependent and their intersections and dependencies are analysed and the potential optimisation gains resulted from open interfaces between big data and carrier networks NFV functional blocks for an adaptive environment are then discussed. Another contribution of this article is a comprehensive discussion on open interface recommendations which enables global collaborative and scalable virtualised big data applications.",SemanticScholar,FOUND
Big data and artificial intelligence in the maritime industry: a bibliometric review and future research directions,"Mariia Dushenko, Marius Imset, Veronica Jaramillo Jimenez, Ziaul Haque Munim, Mohammad Hassan Shakil",Maritime Policy & Management,47.0,5,p577 - p597,2020,10.1080/03088839.2020.1788731,12-Jul-2020,https://doi.org/10.1080/03088839.2020.1788731,53987.0,332.0,"This study provides a bibliometric review of 279 studies on the applications of big data and artificial intelligence (AI) in the maritime industry, published in 214 academic outlets, authored by 842 scholars. We extracted bibliographical data from the Web of Science database and analysed it using the Bibliometrix tool in R software. Based on citation analysis metrics, we revealed the most influential articles, journals, authors and institutions. Using the bibliographic coupling methodology, we identified four underlying research clusters: (1) digital transformation in maritime industry, (2) applications of big data from AIS, (3) energy efficiency and (4) predictive analytics. We analysed these clusters in detail and extracted future research questions. Besides, we present research collaboration networks on the institution and author level.",SemanticScholar,FOUND
The contribution of big data in green supply chain-a systematic review,"Smaïl Benzidia, Samuel Fosso Wamba, Jomana Leroux, Julia Maugran",Supply Chain Forum: An International Journal,26.0,1,p39 - p54,2025,10.1080/16258312.2024.2446007,30-Dec-2024,https://doi.org/10.1080/16258312.2024.2446007,362.0,4.0,"Companies rely on information technologies such as Big Data (BD) to improve decision-making and achieve environmental performance. The present study aims to provide a systematic literature review on the applications and outcomes of big data in the field of Green Supply Chain management and to gain a comprehensive understanding of the current perspectives of this technology, its analysis techniques and its application. These topics were developed reviewing 30 papers published between 2011 and 2022 to address the questions of interest and application of big data within GSCM. The study identified the importance of the human factor as a catalyst to overcome the challenges of implementing BD in GSCM and improving decision-making across the GSCM. As a result, the study allows decision makers in organisations to consider BD as an opportunity for the development of their environmentally friendly practices for each activity in the supply chain including as production, logistics, green human resource management and procurement departments.",SemanticScholar,FOUND
Dynamic mapping of design elements and affective responses: a machine learning based method for affective design,"G Q Huang, Z Li, Z G Tian, J W Wang, W M Wang",Journal of Engineering Design,29.0,7,p358 - p380,2018,10.1080/09544828.2018.1471671,06-May-2018,https://doi.org/10.1080/09544828.2018.1471671,1323.0,52.0,,,NOT_FOUND
Organisational project evaluation via machine learning techniques: an exploration,"Moshe Goresh, Yuval Lib, Roger McHaney, Iris Reychav, Hanoch Sapoznikov, Alon Yaakobi, Lin Zhu",Journal of Business Analytics,2.0,2,p147 - p159,2019,10.1080/2573234x.2019.1675478,11-Oct-2019,https://doi.org/10.1080/2573234x.2019.1675478,494.0,7.0,"This study explores ways an organisation can save time; review all proposed innovative, internal ideas; and, identify relevant start-up companies able to bring these ideas to fruition within a knowledge management framework. It uses text-mining techniques, including Python for data extraction and manipulation and topic modelling with Latent Dirichlet Allocation and Jaccard similarity indexes as a basis for evaluation of potentially valuable project ideas. Results show that internal organisational project ideas can be automatically matched with external data regarding potential implementation partners using big data knowledge management approaches. This ensures internal ideas are not overlooked or lost, but rather considered further so potentially profitable and viable opportunities are not missed. Increased use of big data to predict innovation and add value opens new channels to utilise text analysis in organisations and ensure internal innovation through a sustainable knowledge management approach.",SemanticScholar,FOUND
The future of knowledge management: an agenda for research and practice,"John Edwards, Antti Lönnqvist",Knowledge Management Research & Practice,21.0,5,p909 - p916,2023,10.1080/14778238.2023.2202509,19-Sep-2023,https://doi.org/10.1080/14778238.2023.2202509,8446.0,24.0,"This paper proposes a research agenda for knowledge management research and practice. To do this, it first reviews selected past knowledge management activity, especially that published in KMRP, including descriptions, predictions, initiatives and other research agendas. This merges into a consideration of the current states of knowledge management literature and knowledge management practice, and some issues that need to be taken into account for the future. These are used to synthesise an agenda whose key feature is research on practice, not just research and practice.",SemanticScholar,FOUND
Big data analytics in healthcare: a systematic literature review,"Amandeep Dhir, A K M Najmul Islam, Sayantan Khanra, Matti Mäntymäki",Enterprise Information Systems,14.0,7,p878 - p912,2020,10.1080/17517575.2020.1812005,12-Oct-2020,https://doi.org/10.1080/17517575.2020.1812005,41563.0,236.0,"The current study performs a systematic literature review (SLR) to synthesise prior research on the applicability of big data analytics (BDA) in healthcare. The SLR examines the outcomes of 41 studies, and presents them in a comprehensive framework. The findings from this study suggest that applications of BDA in healthcare can be observed from five perspectives, namely, health awareness among the general public, interactions among stakeholders in the healthcare ecosystem, hospital management practices, treatment of specific medical conditions, and technology in healthcare service delivery. This SLR recommends actionable future research agendas for scholars and valuable implications for theory and practice.",SemanticScholar,FOUND
Big Data in Food: Systematic Literature Review and Future Directions,"Debarun Chakraborty, Sangeeta Khorana, Sunil Luthra, Nripendra P Rana, Hari Babu Singu",Journal of Computer Information Systems,63.0,5,p1243 - p1263,2023,10.1080/08874417.2022.2132428,19-Oct-2022,https://doi.org/10.1080/08874417.2022.2132428,1484.0,30.0,"The growing importance of Big Data in the food industry enables businesses to leverage information to gain a competitive advantage. This paper provides a systematic literature review (SLR) to provide an insight into the use of state-of-art of Big Data applications in the food industry. The SLR relies on available literature that provides the context, theoretical construct and identifies gaps. Based on the findings, we suggest recommendations, identify limitations and suggest policy implications and future directions. Using search databases were examined and 38 relevant studies were identified for retrospective analysis. The review shows that Big Data supports the food industry in ways that enable using Artificial Intelligence to manage restaurants and mobile based applications in supporting consumers with restaurant selection. This SLR open new avenues for future research in the importance of Big Data in the food industry, which will surely help researchers/practitioners in effective utilization of Big DataBig Data.",SemanticScholar,FOUND
Digital technologies and knowledge management in project context: a systematic literature review,"Luciano Ferreira da Silva, Paulo Sérgio Gonçalves de Oliveira, Raimundo José Lopes Gomes, Priscila Rezende da Costa",Knowledge Management Research & Practice,23.0,6,p749 - p764,2025,10.1080/14778238.2024.2419894,04-Nov-2024,https://doi.org/10.1080/14778238.2024.2419894,700.0,18.0,"This article aims to identify how Digital Technologies (DTs) are used in Knowledge Management (KM) in the context of Project Management (PM). A systematic literature review was adopted where 1,554 articles were analysed from Web of Science, and 105 articles were selected for detailed investigation. The articles were categorized by themes and their content was analysed qualitatively, although some quantitative frequency measurements were implemented, including using VOSViewer. The results showed that, especially in the last 4 years, DTs, KM, and PM were treated together with greater relevance. It was identified in the articles that DTs categories used in KM are Industry 4.0, Technological Capacity, Cloud Computing, Big Data, Internet of Things (IoT), Artificial Intelligence, Other Technologies (e.g. Virtual Reality, Augmented Reality, Blockchain, etc.). Furthermore, it was possible to identify how these DTs categories and, mainly, their technological components influence KM, promoting impact in projects context. Thus, this article offers perspectives and solutions to advance understanding the usage of technological components in KM flow to promote impact in projects context.",SemanticScholar,FOUND
Big data contributions to human resource management: a systematic review,"José Garcia-Arroyo, Amparo Osca",The International Journal of Human Resource Management,32.0,20,p4337 - p4362,2021,10.1080/09585192.2019.1674357,09-Oct-2019,https://doi.org/10.1080/09585192.2019.1674357,14433.0,108.0,"Big Data (BD) has become a valuable resource for companies. Publications on BD have grown enormously but scholarly work is scarce. The present review aims to systematise the academic inputs so far and to clarify what is the novelty of BD, what are its implications and challenges for HRM practices, and in which HR practice systems the main contributions are. In a systematic search of more than 1,500 documents, we found 41 articles studying BD in Human Resource Management (HRM). Results show that BD means a new approach and methodology to manage data on employees and numerous opportunities for HRM, but also important challenges at a technological, methodological and ethical level. Five main clusters of HR practice systems have been identified, concentrating the largest number of papers in the cluster of information, learning and knowledge and in the cluster of strategy, efficiency and performance, suggesting a trend in the studies that is explained by the nature and characteristics of the BD. The steps to carry out BD projects are described. The main contributions of the BD in each area are described and future research avenues are outlined.",SemanticScholar,FOUND
Generative artificial intelligence and organizational knowledge management: four alternative configurations,"Henri Hussinki, Patrick Mikalef, Paavo Ritala",Knowledge Management Research & Practice,,,p1 - p16,5187,10.1080/14778238.2026.2689386,17-Jun-2026,https://doi.org/10.1080/14778238.2026.2689386,1663.0,1.0,,,NOT_FOUND
